Default Dataset,
X,Y
336.07922335600904,67.51878577771436
349.8348922902494,71.88638841317413
458.3103032879818,79.3448342332271
474.13430650037793,79.77021160056876
487.59093915343914,80.24490555740557
498.30640589569157,80.89804540697398
534.6393140589569,81.82108466929895
553.3789210128496,80.74399641363928
574.5606575963718,80.68474680081823
589.2632747543461,82.6929601483173
609.9964569160998,82.12263034584464
633.6203231292516,75.90853095317382
655.3004535147392,72.77387790780648
676.4821900982615,74.763967844325
687.8740484288953,75.61039088462559
718.4184685779073,74.86623566342955
730.8071145124716,70.76949835878409
742.2701719576719,64.67480436230437
749.4968820861677,58.93351687994547
754.7300170068027,52.85624924017783
759.2155612244898,46.86646191110479
762.9535147392289,40.451820005391454
765.9438775510204,34.42352042798473
768.9342403628117,28.523304572411732
772.672193877551,21.895189796975544
777.157738095238,14.709954397454425
783.5122590702947,7.668922099725691
792.109552154195,2.96981788053219
369.38775510204084,71.83388040530897
395.9183673469388,73.85757100042815
418.3673469387755,75.89267874982161
436.73469387755097,77.93920365348937
